id,ids_prism,ids_espn,ids_fantasypros,ids_fantasyprosSlug,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay,profile_height,profile_weight,position_abbreviation,position_group,profile_rookieYear
2hmrb76wt8,2hmrb76wt8,4686612,26215,tre-harris,00-0040727,22074,HarrTr03,12509,a45328a1-7d0e-451a-8176-ea30f0e1c86f,Q123197626,41840,T.Harris,Cleveland,Tre Harris,"Harris, Tre","Harris, T",Cleveland Harris,,Tre Harris,Harris,Tre,,2002-02-28,2002,02,28,75,210,WR,WR,2025
2lb8r8c86d,2lb8r8c86d,4362478,25654,emari-demercado,00-0038705,20719,DemeEm00,11199,44b4cbf0-e8fe-11ed-bc6e-a5c4d3ccbdd1,Q118133409,40430,E.Demercado,Emari,Emari Demercado,"Demercado, Emari","Demercado, E",Emari Demercado,,Emari Demercado,Demercado,Emari,,1999-01-20,1999,01,20,69,215,RB,RB,2023
2mmyb83e9m,2mmyb83e9m,4241263,22756,charlie-kolar,00-0038046,19482,KolaCh00,8127,3c048ac9-2c0f-4bf0-9ddc-ce99c9387ac8,Q95693718,34084,C.Kolar,Charlie,Charlie Kolar,"Kolar, Charlie","Kolar, C",Charlie Kolar,,Charlie Kolar,Kolar,Charlie,,1999-02-10,1999,02,10,78,265,TE,TE,2022
2p2k0my3lr,2p2k0my3lr,4431452,23046,drake-maye,00-0039851,21125,MayeDr00,11564,d0c0630e-8925-4b81-a32b-e4146d95f01f,Q113363657,40881,D.Maye,Drake,Drake Maye,"Maye, Drake","Maye, D",Drake Maye,,Drake Maye,Maye,Drake,,2002-08-30,2002,08,30,76,225,QB,QB,2024
2ry9rb0qf0,2ry9rb0qf0,12483,9451,matthew-stafford,00-0026498,7697,StafMa00,421,ade43b1a-0601-4672-83b6-d246bc066a19,Q889130,9265,M.Stafford,John,Matthew Stafford,"Stafford, Matthew","Stafford, M",John Stafford,,Matthew Stafford,Stafford,Matthew,,1988-02-07,1988,02,07,75,214,QB,QB,2009
2s8ghle4q4,2s8ghle4q4,4373030,25349,ben-sims,00-0038809,20639,SimsBe00,11082,cef32a80-e761-11ed-ac46-e3b4ebd723e5,Q122110104,40335,B.Sims,Ben,Ben Sims,"Sims, Ben","Sims, B",Ben Sims,,Ben Sims,Sims,Ben,,2000-05-16,2000,05,16,77,250,TE,TE,2023
2tpzhh0dc0,2tpzhh0dc0,4869461,28507,trey-smack,00-0040899,23151,SmacTr00,13545,fc5890c6-b22d-4b5b-8ca5-2722b077bc8b,Q137576229,42838,T.Smack,James,Trey Smack,"Smack, Trey","Smack, T",James Smack,,Trey Smack,Smack,Trey,,2003-07-12,2003,07,12,73,188,K,SPEC,2026
2vjyyz4ymm,2vjyyz4ymm,4240472,19539,noah-gray,00-0036637,19128,GrayNo00,7828,c97dfcb6-b999-476f-8487-f3848e92df17,Q100564838,33550,N.Gray,Noah,Noah Gray,"Gray, Noah","Gray, N",Noah Gray,,Noah Gray,Gray,Noah,,1999-04-30,1999,04,30,75,240,TE,TE,2021
2xlzp4g4q0,2xlzp4g4q0,4692835,25468,jalen-brooks,00-0038640,20519,BrooJa03,11034,66f7bbe1-eb89-4b48-83db-d947b04ff1fd,Q118106076,40257,J.Brooks,Jalen,Jalen Brooks,"Brooks, Jalen","Brooks, J",Jalen Brooks,,Jalen Brooks,Brooks,Jalen,,2000-05-07,2000,05,07,74,205,WR,WR,2023
2yg9jky8hd,2yg9jky8hd,4431459,26434,tyler-warren,00-0040128,22067,WarrTy00,12518,c8fe3913-1210-4142-b9c1-c119ef702ca5,Q121073917,41799,T.Warren,Tyler,Tyler Warren,"Warren, Tyler","Warren, T",Tyler Warren,,Tyler Warren,Warren,Tyler,,2002-05-24,2002,05,24,78,256,TE,TE,2025
