id,ids_prism,ids_bbref,ids_fangraphs,ids_mlbam,ids_nfbc,ids_sfbb,ids_yahoo,names_last,names_first,names_middle
8z3q9w99kw,8z3q9w99kw,biggehu01,26259,685801,12122,biggehu01,61839,Bigge,Hunter,Bradford
8z70xbxknh,8z70xbxknh,housebr01,29993,691781,11926,housebr01,12580,House,Brady,Hunter
8ztj7zg9vh,8ztj7zg9vh,queroje01,sa3015407,691620,11906,queroje01,12477,Quero,Jeferson,Jose
8zwrejcy38,8zwrejcy38,kniznan01,19514,668800,10135,kniznan01,11392,Knizner,Andrew,Robert
907ydx50yd,907ydx50yd,bidoos01,23150,674370,11808,bidoos01,62004,Bido,Osvaldo,
90995dbh54,90995dbh54,walketa01,11836,592836,8418,walketa01,9321,Walker,Taijuan,Emmanuel
91xbvfxvnw,91xbvfxvnw,dobbihu01,30240,690928,12280,,64811,Dobbins,Hunter,
9223m55310,9223m55310,meidrch01,31580,805367,12227,meidrch01,62504,Meidroth,Chase,Gregory
925p630flh,925p630flh,marchra01,21646,665561,11064,,11813,Marchán,Rafael,Alejandro
925t712m1d,925t712m1d,weathry01,23796,677960,10325,weathry01,11379,Weathers,Ryan,
93lb9yepd4,93lb9yepd4,naylobo01,21865,666310,10143,naylobo01,11296,Naylor,Bo,G.
93zxsflym4,93zxsflym4,nunezde01,23055,673380,11195,,11799,Núñez,Dedniel,Omar
94ds4mmst0,94ds4mmst0,morejad01,20039,670970,10123,morejad01,10574,Morejón,Adrián,
94fywyv5m8,94fywyv5m8,harriky01,27758,690986,11597,harriky01,12175,Harrison,Kyle,Christopher
94mpzn4c1r,94mpzn4c1r,junisja01,13619,596001,9547,junisja01,10494,Junis,Jakob,Benjamin Lee
94t6gbwg38,94t6gbwg38,bregmal01,17678,608324,9415,bregmal01,10183,Bregman,Alex,David
95zl0klr90,95zl0klr90,hillisa01,17954,656541,10457,hillisa01,11206,Hilliard,Sam,Beauman
969mgsg000,969mgsg000,muncyma01,13301,571970,8691,muncyma01,9606,Muncy,Max,Steven
96j14wsvdh,96j14wsvdh,oneilty01,15711,641933,9789,oneilty01,10215,O'Neill,Tyler,Alan
96yhv63ht8,96yhv63ht8,bettsmo01,13611,605141,8638,bettsmo01,9552,Betts,Mookie,Lynn
974t8n7pqm,974t8n7pqm,anderia01,19951,666120,10217,anderia01,10424,Anderson,Ian,Theodore
98j7lj94zh,98j7lj94zh,sandlni01,20517,680704,10930,sandlni01,11894,Sandlin,Nick,Howard
991ydx34nd,991ydx34nd,montgco01,29712,695657,11892,montgco01,12413,Montgomery,Colson,Kade
99qjy8hsvh,99qjy8hsvh,lordbr02,31972,695418,12369,,65104,Lord,Brad,Ryan
9cdtg7r05h,9cdtg7r05h,woodrbr01,16162,605540,9678,woodrbr01,10730,Woodruff,Brandon,Kyle
9djg82n7pm,9djg82n7pm,burnsch01,35333,695505,12193,burnsch01,64316,Burns,Chase,David
9fbhztx940,9fbhztx940,herriti01,25139,682120,11676,herriti01,12733,Herrin,Tim,Edward
9fcd16zl58,9fcd16zl58,goldspa01,9218,502671,8126,goldspa01,8967,Goldschmidt,Paul,Edward
9gq2bewwm0,9gq2bewwm0,rojasmi02,7802,500743,8807,rojasmi02,9726,Rojas,Miguel,Elias
9gz0es8vfd,9gz0es8vfd,roycrch01,31261,688297,12086,,63663,Roycroft,Chris,Michael
9h91wd7vph,9h91wd7vph,delauch01,sa3021053,800050,11919,delauch01,60138,DeLauter,Chase,Daniel
9hjsxnzc9w,9hjsxnzc9w,carrial01,26463,692024,12426,,65995,Carrillo,Alex,
9j2qb0zee8,9j2qb0zee8,criswje01,27608,676105,12162,,12163,Criswell,Jeff,Kelley
9kvmecbgnd,9kvmecbgnd,santade01,17878,642701,9917,santade01,10901,Santana,Dennis,Anfernee
9lcp8s3rkw,9lcp8s3rkw,sousabe01,21345,656986,10903,,12045,Sousa,Bennett,Bennett
9mm1ns13jr,9mm1ns13jr,adcocty01,25651,686654,11807,,62451,Adcock,Ty,Nathan McKenzie
9p9hbq1hrr,9p9hbq1hrr,loperjo01,29630,694388,11952,loperjo01,63561,Loperfido,Joey,Joseph
9ph0nfhl60,9ph0nfhl60,churcma01,26353,687847,11993,churcma01,60438,Church,Marc,Easton
9q2tnvfyvd,9q2tnvfyvd,leonsa01,5273,506702,8285,leonsa01,9180,León,Sandy,David
9refvm9dtw,9refvm9dtw,parkemi01,27636,680730,11970,parkemi01,12585,Parker,Mitchell,James
9sc7mz3w3m,9sc7mz3w3m,happia01,17919,664023,9655,happia01,10440,Happ,Ian,Edward
9vs6y16wsw,9vs6y16wsw,chaveje01,5448,445926,6704,chaveje01,8334,Chavez,Jesse,David
9vve1j1b1m,9vve1j1b1m,freelky01,16256,607536,8941,freelky01,9863,Freeland,Kyle,Richard
9w1syb9g3d,9w1syb9g3d,hoeinbr01,26304,663773,11541,hoeinbr01,12677,Hoeing,Bryan,Jerome
9w8ncvdhfr,9w8ncvdhfr,cobbal01,6562,502171,8058,cobbal01,8918,Cobb,Alex,Miller
9wcdevd4fm,9wcdevd4fm,manguja01,26202,663968,12067,manguja01,60623,Mangum,Jake,Thomas
9wfhd3en9h,9wfhd3en9h,meadcu01,23986,678554,11606,meadcu01,12558,Mead,Curtis,James
9wxb1wn8p0,9wxb1wn8p0,diazya02,23003,673237,11559,diazya02,12435,Diaz,Yainer,Radhames
