id,ids_prism,ids_espn,ids_fantasypros,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay
1q9dv58dtr,1q9dv58dtr,4870847,27337,00-0040870,22959,LaneJa01,13293,ea285842-4fdf-4b27-bd73-6bfd916c6bc5,Q130380708,42702,J.Lane,Ja'Kobi,Ja'Kobi Lane,"Lane, Ja'Kobi","Lane, J",Ja'Kobi Lane,,Ja'Kobi Lane,Lane,Ja'Kobi,,2004-08-05,2004,08,05
1qr2zc3s60,1qr2zc3s60,4360763,25631,00-0038840,20751,TremBr00,11157,2a3cbc30-e8ed-11ed-bd02-25f41a9e059e,Q128529362,40407,B.Tremayne,Brycen,Brycen Tremayne,"Tremayne, Brycen","Tremayne, B",Brycen Tremayne,,Brycen Tremayne,Tremayne,Brycen,,1999-11-18,1999,11,18
1r08hg90ld,1r08hg90ld,4432620,23106,00-0038606,20291,WashPa01,9487,c05863ec-3414-4ae6-a8d2-830aed99b6d3,Q105582950,40234,P.Washington,Christopher,Parker Washington,"Washington, Parker","Washington, P",Christopher Washington,,Parker Washington,Washington,Parker,,2002-03-21,2002,03,21
22ddgf0rxm,22ddgf0rxm,4722893,25876,00-0038794,21005,McLaJa00,11439,60b4ded0-f321-11ed-ab27-e38fa04fd6c0,Q120973540,40696,J.McLaughlin,Jaleel,Jaleel McLaughlin,"McLaughlin, Jaleel","McLaughlin, J",Jaleel McLaughlin,,Jaleel McLaughlin,McLaughlin,Jaleel,,2000-09-13,2000,09,13
22kns1s024,22kns1s024,4685555,24343,00-0040886,22943,SingNi01,13288,0111286e-ef59-40dd-97e8-967204490e34,Q113468531,42763,N.Singleton,Nicholas,Nicholas Singleton,"Singleton, Nicholas","Singleton, N",Nicholas Singleton,,Nicholas Singleton,Singleton,Nicholas,,2004-01-06,2004,01,06
2389bt5vmh,2389bt5vmh,4040761,18280,00-0035250,17034,SingDe00,6130,a961b0d4-5d7c-438e-90f0-2e1fa09f6c89,Q44389375,31906,D.Singletary,Devin,Devin Singletary,"Singletary, Devin","Singletary, D",Devin Singletary,,Devin Singletary,Singletary,Devin,,1997-09-03,1997,09,03
263pgtfvcd,263pgtfvcd,4685261,26039,00-0041489,22947,BernGe00,13274,d37b698e-7a10-4363-a859-6937c7d3e6f6,Q124215676,42669,G.Bernard,Germie,Germie Bernard,"Bernard, Germie","Bernard, G",Germie Bernard,,Germie Bernard,Bernard,Germie,,2003-12-02,2003,12,02
274d354sbr,274d354sbr,4360516,22980,00-0039384,21183,TracTy00,11655,fc6c7973-79a9-4974-855e-bc13400fe641,Q124714586,41048,T.Tracy,Tyrone,Tyrone Tracy,"Tracy, Tyrone","Tracy, T",Tyrone Tracy Jr.,Jr.,Tyrone Tracy Jr.,Tracy,Tyrone,,1999-11-23,1999,11,23
27cz4r21c0,27cz4r21c0,4426338,22910,00-0039732,20299,NixxBo00,11563,f056c8ed-6ee5-492c-af11-3f7e3d97195c,Q64010450,40875,B.Nix,Bo,Bo Nix,"Nix, Bo","Nix, B",Bo Nix,,Bo Nix,Nix,Bo,,2000-02-25,2000,02,25
27k9qfxj4w,27k9qfxj4w,4426485,23030,00-0039062,20332,MingJo00,10225,6cf0c82d-87e4-4cfc-8475-77667ed92796,Q114567837,40073,J.Mingo,Jonathan,Jonathan Mingo,"Mingo, Jonathan","Mingo, J",Jonathan Mingo,,Jonathan Mingo,Mingo,Jonathan,,2001-04-20,2001,04,20
