id,ids_prism,ids_espn,ids_fantasypros,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay
5tet5q2r7r,5tet5q2r7r,3043116,15665,00-0032775,14714,RobiDe01,3286,46b16198-116f-4913-85db-2bc21462bd66,Q24060917,29360,D.Robinson,Demarcus,Demarcus Robinson,"Robinson, Demarcus","Robinson, D",Demarcus Robinson,,Demarcus Robinson,Robinson,Demarcus,,1994-09-21,1994,09,21
5tve79zpr4,5tve79zpr4,4428850,24354,00-0038393,20314,WickDo00,9486,ea3d1393-8c3b-4e81-a519-f636d28d692e,Q113200524,40201,D.Wicks,Dontayvion,Dontayvion Wicks,"Wicks, Dontayvion","Wicks, D",Dontayvion Wicks,,Dontayvion Wicks,Wicks,Dontayvion,,2001-06-16,2001,06,16
5w0mqcyf6h,5w0mqcyf6h,4360761,25333,00-0038559,20340,WilsMi02,10232,b91be982-fccd-448e-869b-e9b5148a1730,Q116814598,40121,M.Wilson,Michael,Michael Wilson,"Wilson, Michael","Wilson, M",Michael Wilson,,Michael Wilson,Wilson,Michael,,2000-02-23,2000,02,23
5zbjbbv0xw,5zbjbbv0xw,4243331,23181,00-0038129,19632,OttoCa00,8111,f23517bd-ae85-484a-8ecb-1f7a2d851e48,Q108292970,34062,C.Otton,Cade,Cade Otton,"Otton, Cade","Otton, C",Cade Otton,,Cade Otton,Otton,Cade,,1999-04-15,1999,04,15
5zx9ed5txr,5zx9ed5txr,3128429,17253,00-0034348,16066,SuttCo00,5045,b55ae5ba-593f-4560-9cab-14e10698e01d,Q29723427,31010,C.Sutton,Courtland,Courtland Sutton,"Sutton, Courtland","Sutton, C",Courtland Sutton,,Courtland Sutton,Sutton,Courtland,,1995-10-10,1995,10,10
622x93nkfh,622x93nkfh,16800,12123,00-0031381,12729,AdamDa01,2133,e7d6ae25-bf15-4660-8b37-c37716551de3,Q16149402,27581,D.Adams,Davante,Davante Adams,"Adams, Davante","Adams, D",Davante Adams,,Davante Adams,Adams,Davante,,1992-12-24,1992,12,24
63j28s085d,63j28s085d,3930086,18631,00-0035689,17088,KnoxDa00,5906,5fb525c5-4e70-4ede-8c49-94ad0cf66b7d,Q63229960,31928,D.Knox,Dawson,Dawson Knox,"Knox, Dawson","Knox, D",Dawson Knox,,Dawson Knox,Knox,Dawson,,1996-11-14,1996,11,14
63j61sn3rr,63j61sn3rr,4374302,19799,00-0036963,18827,StxxAm00,7547,26ef0447-29b8-4dd1-9831-dcbf8132bb74,Q56651156,33500,A.St. Brown,Amon-Ra,Amon-Ra St. Brown,"St. Brown, Amon-Ra","St. Brown, A",Amon-Ra St. Brown,,Amon-Ra St. Brown,St. Brown,Amon-Ra,,1999-10-24,1999,10,24
63vpp7ln4w,63vpp7ln4w,4600981,27211,00-0040134,22115,BryaPa00,12492,2858209e-4aa7-4539-9901-99a4d881229c,Q130667760,41860,P.Bryant,Patrick,Pat Bryant,"Bryant, Pat","Bryant, P",Patrick Bryant,,Pat Bryant,Bryant,Pat,,2002-12-10,2002,12,10
64tx6y8grm,64tx6y8grm,4047650,18219,00-0035640,17002,MetcDK00,5846,754faf0f-40f7-45f0-b23b-6ce990ecaf26,Q53038696,31896,D.Metcalf,DeKaylin,DK Metcalf,"Metcalf, DK","Metcalf, D",DeKaylin Metcalf,,DK Metcalf,Metcalf,DK,,1997-12-14,1997,12,14
65b1l2hcxm,65b1l2hcxm,3929630,17240,00-0034844,16062,BarkSa00,4866,9811b753-347c-467a-b3cb-85937e71e2b9,Q21620839,30972,S.Barkley,Saquon,Saquon Barkley,"Barkley, Saquon","Barkley, S",Saquon Barkley,,Saquon Barkley,Barkley,Saquon,,1997-02-09,1997,02,09
6bryx880n4,6bryx880n4,4710855,27449,00-0040590,22334,MumpKo00,12718,ccb6d700-ac74-4f6b-9f86-d1aa74d0c318,Q131581951,42035,K.Mumpfield,Konata,Konata Mumpfield,"Mumpfield, Konata","Mumpfield, K",Konata Mumpfield,,Konata Mumpfield,Mumpfield,Konata,,2002-10-24,2002,10,24
6cc6ssgsnh,6cc6ssgsnh,4605951,28125,00-0041399,22950,DaniCJ00,13270,d9f1a46d-555a-45b6-90cf-245fc29709c3,Q135537968,42819,C.Daniels,CJ,CJ Daniels,"Daniels, CJ","Daniels, C",CJ Daniels,,CJ Daniels,Daniels,CJ,,2002-01-04,2002,01,04
6eptg9h6yr,6eptg9h6yr,5155825,27470,00-0040488,22778,RunyCa00,13122,a4af6950-2625-11f0-be8a-29068ea3d60c,Q136410914,42433,C.Runyon,Carter,Carter Runyon,"Runyon, Carter","Runyon, C",Carter Runyon,,Carter Runyon,Runyon,Carter,,2001-07-23,2001,07,23
6f64nssxv0,6f64nssxv0,4429615,22916,00-0039064,20288,FlowZa00,9997,2b6d74b7-10fb-4f17-99c8-9bb557fb475b,Q108525388,40039,Z.Flowers,Xavien,Zay Flowers,"Flowers, Zay","Flowers, Z",Xavien Flowers,,Zay Flowers,Flowers,Zay,,2000-09-11,2000,09,11
6grvb5b0ed,6grvb5b0ed,4036378,19246,00-0036264,17997,LoveJo03,6804,e5094779-e94f-4052-8597-bdbee3719f6b,Q60736806,32696,J.Love,Jordan,Jordan Love,"Love, Jordan","Love, J",Jordan Love,,Jordan Love,Love,Jordan,,1998-11-02,1998,11,02
6jtyc0w3b0,6jtyc0w3b0,3050481,17826,00-0034613,16740,HudsTa00,5409,2fa75e05-cac4-4b40-8924-dbc9ae0c959c,Q66994659,31257,T.Hudson,Tanner,Tanner Hudson,"Hudson, Tanner","Hudson, T",Tanner Hudson,,Tanner Hudson,Hudson,Tanner,,1994-11-12,1994,11,12
6nsn4xmn90,6nsn4xmn90,4890373,28165,00-0041094,23216,SharBa00,13308,613e095e-7bd0-4e02-b21d-fc3f846b0937,Q130235350,42807,B.Sharp,Bauer,Bauer Sharp,"Sharp, Bauer","Sharp, B",Bauer Sharp,,Bauer Sharp,Sharp,Bauer,,2003-05-03,2003,05,03
6pxwycv8c0,6pxwycv8c0,4432374,27596,00-0040260,22439,MarsAh00,12797,c18cabc0-2321-11f0-80a0-bb24566134d1,Q136652161,42092,A.Marshall,Ahmani,Ahmani Marshall,"Marshall, Ahmani","Marshall, A",Ahmani Marshall,,Ahmani Marshall,Marshall,Ahmani,,2002-03-21,2002,03,21
6qg874mdqw,6qg874mdqw,4696044,28401,00-0041052,23064,BlacKa00,13414,4dea3ae1-8c53-4ef1-bd72-e2d2dfb3fa97,Q137391681,42712,K.Black,Kaelon,Kaelon Black,"Black, Kaelon","Black, K",Kaelon Black,,Kaelon Black,Black,Kaelon,,2001-10-17,2001,10,17
6rvj8v6lr4,6rvj8v6lr4,4241374,24180,00-0037086,19731,CalcGr00,8177,f6988cfa-2dcf-490b-ac80-9af8e4292efa,Q110265821,34154,G.Calcaterra,Grant,Grant Calcaterra,"Calcaterra, Grant","Calcaterra, G",Grant Calcaterra,,Grant Calcaterra,Calcaterra,Grant,,1998-12-04,1998,12,04
6sc0cvtkf0,6sc0cvtkf0,2576336,13924,00-0032104,13582,AbduAm00,2359,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,Q16148577,28442,A.Abdullah,Ameer,Ameer Abdullah,"Abdullah, Ameer","Abdullah, A",Ameer Abdullah,,Ameer Abdullah,Abdullah,Ameer,,1993-06-13,1993,06,13
6tv3yhdn9w,6tv3yhdn9w,4248528,23886,00-0038124,19445,WatsCh00,8167,47d97f44-b4aa-46d2-816c-5b5a1fe48d46,Q110903857,33989,C.Watson,Christian,Christian Watson,"Watson, Christian","Watson, C",Christian Watson,,Christian Watson,Watson,Christian,,1999-05-12,1999,05,12
6yj2ddzrt0,6yj2ddzrt0,4361088,26576,00-0039686,21536,YankCo00,11942,8344b150-0667-11ef-8407-311b2612bbe3,Q129950120,41233,C.Yankoff,Colson,Colson Yankoff,"Yankoff, Colson","Yankoff, C",Colson Yankoff,,Colson Yankoff,Yankoff,Colson,,2000-03-01,2000,03,01
6yq5z3rrl0,6yq5z3rrl0,4708049,26002,00-0040215,22352,BartGa00,12700,c1b41bdc-c726-4ee5-910f-b5e4a00412a3,Q134136933,41994,G.Bartholomew,Gavin,Gavin Bartholomew,"Bartholomew, Gavin","Bartholomew, G",Gavin Bartholomew,,Gavin Bartholomew,Bartholomew,Gavin,,2003-04-30,2003,04,30
6z40g2lfvr,6z40g2lfvr,4361411,20163,00-0036894,18792,FreiPa00,7600,04f0fefe-9d9d-44f5-94ea-6df2a42df3c6,Q74946235,33443,P.Freiermuth,Patrick,Pat Freiermuth,"Freiermuth, Pat","Freiermuth, P",Patrick Freiermuth,,Pat Freiermuth,Freiermuth,Pat,,1998-10-25,1998,10,25
74bqdcnx5m,74bqdcnx5m,4245645,23293,00-0036569,19149,BrigGa00,7529,94bde2c7-7229-4bf0-a545-5950cf3c7927,Q106677291,33584,G.Brightwell,Gary,Gary Brightwell,"Brightwell, Gary","Brightwell, G",Gary Brightwell,,Gary Brightwell,Brightwell,Gary,,1998-02-28,1998,02,28
74px7qmmk0,74px7qmmk0,4036131,17527,00-0035644,17021,FantNo00,5857,cdc98acc-9eb6-4b44-81bb-61d7b8a3b55f,Q52441680,31852,N.Fant,Noah,Noah Fant,"Fant, Noah","Fant, N",Noah Fant,,Noah Fant,Fant,Noah,,1997-11-20,1997,11,20
787t6knntr,787t6knntr,4426844,23119,00-0039041,20346,HiggEl00,10231,a01b7698-d67f-4b60-b2fb-4c667336b718,Q116968518,40226,E.Higgins,Elijah,Elijah Higgins,"Higgins, Elijah","Higgins, E",Elijah Higgins,,Elijah Higgins,Higgins,Elijah,,2000-10-27,2000,10,27
7brhwek8qm,7brhwek8qm,4249417,23770,00-0037666,19453,TolbJa00,8117,c6fb9f3a-f8ff-4224-a5f6-4d2d09501c9c,Q108677281,34044,J.Tolbert,Jalen,Jalen Tolbert,"Tolbert, Jalen","Tolbert, J",Jalen Tolbert,,Jalen Tolbert,Tolbert,Jalen,,1999-02-27,1999,02,27
7dx90qs7k4,7dx90qs7k4,4429795,22968,00-0039139,20272,GibbJa01,9221,fef9457e-6497-47de-9bf2-cc3b95929375,Q100193610,40059,J.Gibbs,Jahmyr,Jahmyr Gibbs,"Gibbs, Jahmyr","Gibbs, J",Jahmyr Gibbs,,Jahmyr Gibbs,Gibbs,Jahmyr,,2002-03-20,2002,03,20
7erp9f5qxr,7erp9f5qxr,3127310,18561,00-0035631,17225,SampDr00,6001,15a4f552-ecaf-45bd-9006-aa5dda93bee6,Q63346900,31884,D.Sample,Drew,Drew Sample,"Sample, Drew","Sample, D",Drew Sample,,Drew Sample,Sample,Drew,,1996-04-16,1996,04,16
7f7v2ngnm0,7f7v2ngnm0,4429148,23104,00-0039847,21181,JohnTh00,11597,a5d4bb1d-c130-47c2-808a-2dd1f85005fb,Q121079734,41003,T.Johnson,Theodore,Theo Johnson,"Johnson, Theo","Johnson, T",Theodore Johnson,,Theo Johnson,Johnson,Theo,,2001-02-26,2001,02,26
7flf6622yr,7flf6622yr,4369863,25287,00-0038979,20290,TillCe01,10444,148330d9-5182-4b58-b695-8067aaba4731,Q110486805,40093,C.Tillman,Cedric,Cedric Tillman,"Tillman, Cedric","Tillman, C",Cedric Tillman,,Cedric Tillman,Tillman,Cedric,,2000-04-19,2000,04,19
7hfg99gzc4,7hfg99gzc4,4259545,19210,00-0036275,17961,SwifDA00,6790,cc4b5f58-a11c-4450-a1df-617ad88336e4,Q52693227,32705,D.Swift,D'Andre,D'Andre Swift,"Swift, D'Andre","Swift, D",D'Andre Swift,,D'Andre Swift,Swift,D'Andre,,1999-01-14,1999,01,14
7j4pbqk9b8,7j4pbqk9b8,4723820,28127,00-0041511,22948,CoopOm00,13276,72594204-b4a9-4f08-907d-029d8a425ddb,Q136432693,42652,O.Cooper,Omar,Omar Cooper,"Cooper, Omar","Cooper, O",Omar Cooper Jr.,Jr.,Omar Cooper Jr.,Cooper,Omar,,2003-12-14,2003,12,14
7jx8eh1kfm,7jx8eh1kfm,4360967,26003,00-0039530,21662,SpanBr00,11593,efc8d800-072b-11ef-892f-5b772aae3c25,Q121160147,41371,B.Spann-Ford,Brevyn,Brevyn Spann-Ford,"Spann-Ford, Brevyn","Spann-Ford, B",Brevyn Spann-Ford,,Brevyn Spann-Ford,Spann-Ford,Brevyn,,1999-12-27,1999,12,27
7r1ncnznm4,7r1ncnznm4,4429205,23107,00-0038994,20274,AddiJo00,9756,63fdd64e-1a23-4b77-9536-b1609f3a708c,Q108776267,40042,J.Addison,Jordan,Jordan Addison,"Addison, Jordan","Addison, J",Jordan Addison,,Jordan Addison,Addison,Jordan,,2002-01-27,2002,01,27
7rstxrwy24,7rstxrwy24,4372505,25346,00-0039050,20342,DurhPa00,10227,c4a8b4c9-5db8-4187-852b-9557bef8724e,Q115441650,40193,P.Durham,William,Payne Durham,"Durham, Payne","Durham, P",William Durham,,Payne Durham,Durham,Payne,,2000-06-15,2000,06,15
7yjh9c2f3w,7yjh9c2f3w,4613104,26023,00-0039920,21142,CorlMa00,11617,bae59933-8b94-4837-990e-f0a4ced3cdbb,Q120922131,40944,M.Corley,Malachi,Malachi Corley,"Corley, Malachi","Corley, M",Malachi Corley,,Malachi Corley,Corley,Malachi,,2002-03-21,2002,03,21
7zkt6hbyy0,7zkt6hbyy0,4428718,25337,00-0038563,20357,TuckTr00,10213,9beb72c5-5a81-413c-ada3-ff4854c95cf4,Q116200615,40114,T.Tucker,Tre,Tre Tucker,"Tucker, Tre","Tucker, T",Tre Tucker,,Tre Tucker,Tucker,Tre,,2001-03-08,2001,03,08
806mfh6zyw,806mfh6zyw,3043275,15581,00-0032392,14374,HoopAu00,3202,90c2a93f-d837-4e1b-b57c-56648903a8db,Q22077997,29315,A.Hooper,Austin,Austin Hooper,"Hooper, Austin","Hooper, A",Austin Hooper,,Austin Hooper,Hooper,Austin,,1994-10-29,1994,10,29
80rmhmf010,80rmhmf010,4876132,28155,00-0040887,23118,CuevJo00,13273,39c65aa3-f28d-4b3e-8cd6-e204cf33ce27,Q136802873,42782,J.Cuevas,Josh,Josh Cuevas,"Cuevas, Josh","Cuevas, J",Josh Cuevas,,Josh Cuevas,Cuevas,Josh,,2002-09-25,2002,09,25
810rd58m54,810rd58m54,4596448,25981,00-0039361,21136,IrviBu00,11584,c5249c6f-bd1b-4352-8228-de2bd499ca0d,Q114818783,40993,B.Irving,Mar'Keise,Bucky Irving,"Irving, Bucky","Irving, B",Mar'Keise Irving,,Bucky Irving,Irving,Bucky,,2002-08-19,2002,08,19
88ylnsywrh,88ylnsywrh,4036032,24572,00-0037329,19710,BrowBr06,8423,387c8819-5892-4528-ac33-0ec72b24cc2f,Q111787485,34206,B.Brown,Brittain,Brittain Brown,"Brown, Brittain","Brown, B",Brittain Brown,,Brittain Brown,Brown,Brittain,,1997-10-10,1997,10,10
899018kh7w,899018kh7w,4686468,23079,00-0041125,22945,McGoSe01,13424,17deebdc-0ec2-4f3f-9584-d21b01743265,Q137356492,42859,S.McGowan,Seth,Seth McGowan,"McGowan, Seth","McGowan, S",Seth McGowan,,Seth McGowan,McGowan,Seth,,2001-10-23,2001,10,23
8b7yq283xd,8b7yq283xd,5081397,27102,00-0040162,22099,SampDy00,12469,6ea71d26-623a-4178-a93a-215678244902,Q126285126,41907,D.Sampson,Dylan,Dylan Sampson,"Sampson, Dylan","Sampson, D",Dylan Sampson,,Dylan Sampson,Sampson,Dylan,,2004-09-14,2004,09,14
8cynscb778,8cynscb778,4430878,23070,00-0038543,20273,SmitJa06,9488,6215db71-1e13-4c62-8f14-2005d33dee47,Q108576604,40041,J.Smith-Njigba,Jaxon,Jaxon Smith-Njigba,"Smith-Njigba, Jaxon","Smith-Njigba, J",Jaxon Smith-Njigba,,Jaxon Smith-Njigba,Smith-Njigba,Jaxon,,2002-02-14,2002,02,14
8fb1sy1p0w,8fb1sy1p0w,4372016,19790,00-0036613,18781,WaddJa00,7526,0ff9a975-669d-4851-a95d-ab28d9fc29c4,Q66648641,33394,J.Waddle,Jaylen,Jaylen Waddle,"Waddle, Jaylen","Waddle, J",Jaylen Waddle,,Jaylen Waddle,Waddle,Jaylen,,1998-11-25,1998,11,25
8jk11f9c8r,8jk11f9c8r,4038441,18256,00-0034975,17020,HillJu00,5995,528e71ec-8fb3-4928-ace5-fc5ffbf26eb3,Q29913288,31945,J.Hill,Justice,Justice Hill,"Hill, Justice","Hill, J",Justice Hill,,Justice Hill,Hill,Justice,,1997-11-14,1997,11,14
8n5bh12jew,8n5bh12jew,4040715,19275,00-0036389,17999,HurtJa00,6904,64bd0f02-6a5d-407e-98f1-fd02048ea21d,Q26923572,32723,J.Hurts,Jalen,Jalen Hurts,"Hurts, Jalen","Hurts, J",Jalen Hurts,,Jalen Hurts,Hurts,Jalen,,1998-08-07,1998,08,07
8nc61tex78,8nc61tex78,5082630,27076,00-0040646,22107,RoyaJa00,12505,0ef78810-a38b-4444-b3b9-fb8b293c567d,Q125716916,41891,J.Royals,Jalen,Jalen Royals,"Royals, Jalen","Royals, J",Jalen Royals,,Jalen Royals,Royals,Jalen,,2003-02-18,2003,02,18
8y25g6bjcr,8y25g6bjcr,3930066,19483,00-0036415,18015,JeffVa00,6853,8e1285f7-6e4c-41e4-aac9-92e09f9f32b2,Q83688796,32727,V.Jefferson,Vanchii,Van Jefferson,"Jefferson, Van","Jefferson, V",Vanchii Jefferson,,Van Jefferson,Jefferson,Van,,1996-07-26,1996,07,26
8zzkpfrnzd,8zzkpfrnzd,4429805,25980,00-0039471,21166,GoreFr01,11573,cd4c8e90-06f7-11ef-a3ab-0317e25dec4e,Q109591476,41243,F.Gore,Franklin,Frank Gore,"Gore, Frank","Gore, F",Franklin Gore Jr.,Jr.,Frank Gore Jr.,Gore,Frank,,2002-03-13,2002,03,13
904ft2n8m4,904ft2n8m4,11252,9300,00-0026158,7090,FlacJo00,19,64797df2-efd3-4b27-86ee-1d48f7edb09f,Q795406,8795,J.Flacco,Joseph,Joe Flacco,"Flacco, Joe","Flacco, J",Joseph Flacco,,Joe Flacco,Flacco,Joe,,1985-01-16,1985,01,16
93ftjq88l0,93ftjq88l0,4567048,23021,00-0038134,19430,WalkKe00,8151,22ee9bac-a64c-4d44-94fc-51d775465b3b,Q108602387,33996,K.Walker,Kenneth,Kenneth Walker,"Walker, Kenneth","Walker, K",Kenneth Walker III,III,Kenneth Walker III,Walker,Kenneth,,2000-10-20,2000,10,20
94xvx8g2g4,94xvx8g2g4,2975863,16706,00-0033576,15366,SaubEr00,4189,582dc00e-e7ec-4ca7-bff0-f7b1d604017b,Q29635055,30287,E.Saubert,Eric,Eric Saubert,"Saubert, Eric","Saubert, E",Eric Saubert,,Eric Saubert,Saubert,Eric,,1994-05-09,1994,05,09
95drd7d7jd,95drd7d7jd,5085189,27501,00-0041116,23133,EndrJa00,13282,086abbb5-f5ce-4188-8c77-2808a10e3402,Q132626401,42843,J.Endries,Jack,Jack Endries,"Endries, Jack","Endries, J",Jack Endries,,Jack Endries,Endries,Jack,,2004-03-26,2004,03,26
960jnwdkx4,960jnwdkx4,4568490,27142,00-0040730,22111,HarvRJ00,12489,fc6dbb83-b2b1-4962-b793-e79b2378b525,Q123514848,41845,R.Harvey,Robert,RJ Harvey,"Harvey, RJ","Harvey, R",Robert Harvey,,RJ Harvey,Harvey,RJ,,2001-02-04,2001,02,04
989lcxs8hm,989lcxs8hm,4426948,26328,00-0039355,21168,McCaLu00,11650,5cfd82f8-9e73-48d7-914e-9051ff52d67d,Q95227652,40964,L.McCaffrey,Luke,Luke McCaffrey,"McCaffrey, Luke","McCaffrey, L",Luke McCaffrey,,Luke McCaffrey,McCaffrey,Luke,,2001-04-02,2001,04,02
98ekbd5b14,98ekbd5b14,3126486,18244,00-0035719,17019,SamuDe00,5872,628a6a0a-4fde-4024-8d7c-28674953d5af,Q48885295,31868,D.Samuel,Tyshun,Deebo Samuel,"Samuel, Deebo","Samuel, D",Tyshun Samuel Sr.,Sr.,Deebo Samuel Sr.,Samuel,Deebo,,1996-01-15,1996,01,15
99q644st7m,99q644st7m,4695404,25977,00-0039798,21161,DaviIs00,11571,849789be-b8f0-4d97-a777-2fcf336efa6a,Q120970539,41031,I.Davis,Isaiah,Isaiah Davis,"Davis, Isaiah","Davis, I",Isaiah Davis,,Isaiah Davis,Davis,Isaiah,,2002-02-21,2002,02,21
9cd0nlnt5m,9cd0nlnt5m,4572680,25298,00-0038996,20312,KrafTu00,9484,3a084c5f-6b9f-4703-a0c7-1566bc4b1129,Q113335165,40102,T.Kraft,Tucker,Tucker Kraft,"Kraft, Tucker","Kraft, T",Tucker Kraft,,Tucker Kraft,Kraft,Tucker,,2000-11-03,2000,11,03
9d3w2xyky8,9d3w2xyky8,4702559,25430,00-0041041,22970,DelpOs01,13319,e30ac2bf-f359-4913-8e92-0a97a7ebf289,Q114208797,42695,O.Delp,Oscar,Oscar Delp,"Delp, Oscar","Delp, O",Oscar Delp,,Oscar Delp,Delp,Oscar,,2003-08-04,2003,08,04
9edybk94yd,9edybk94yd,4428085,25282,00-0039144,20303,MusgLu00,9481,77a4fb49-3c6c-4aa1-8a21-20956e2d2240,Q113861514,40074,L.Musgrave,Luke,Luke Musgrave,"Musgrave, Luke","Musgrave, L",Luke Musgrave,,Luke Musgrave,Musgrave,Luke,,2000-09-02,2000,09,02
9jldsr90y8,9jldsr90y8,4426502,23163,00-0037238,19433,LondDr00,8112,5053f9ae-15d9-4730-833d-484886b6f890,Q100877251,33963,D.London,Drake,Drake London,"London, Drake","London, D",Drake London,,Drake London,London,Drake,,2001-07-24,2001,07,24
9l3rqdws5w,9l3rqdws5w,4808759,26025,00-0040930,23392,,13726,4d049250-4278-11f1-b3d1-bb3960424d63,Q141106485,43059,C.Brown,Camden,Camden Brown,"Brown, Camden","Brown, C",Camden Brown,,Camden Brown,Brown,Camden,,2004-05-06,2004,05,06
9m4c4yr5pw,9m4c4yr5pw,4688835,25387,00-0040998,23486,HembRo00,13416,f5d02460-4194-11f1-b42b-111a688b2d6a,Q115492469,42941,R.Hemby,Roman,Roman Hemby,"Hemby, Roman","Hemby, R",Roman Hemby,,Roman Hemby,Hemby,Roman,,2002-08-16,2002,08,16
9ngymgkbrh,9ngymgkbrh,4688813,24706,00-0038997,20283,DownJo00,9500,dd227f4a-0785-482d-a28b-f231c7f3b73f,Q108819388,40126,J.Downs,Josh,Josh Downs,"Downs, Josh","Downs, J",Josh Downs,,Josh Downs,Downs,Josh,,2001-08-12,2001,08,12
9p1tdjhs38,9p1tdjhs38,4430870,24372,00-0040184,22336,LambKe01,12670,2f6580d2-6f19-4a03-99e8-4dbd9ebf2a73,Q120922125,41944,K.Lambert-Smith,KeAndre,KeAndre Lambert-Smith,"Lambert-Smith, KeAndre","Lambert-Smith, K",KeAndre Lambert-Smith,,KeAndre Lambert-Smith,Lambert-Smith,KeAndre,,2001-10-16,2001,10,16
9pn2rwl8yr,9pn2rwl8yr,4697815,23891,00-0037256,19436,WhitRa01,8136,4d3f2f57-215c-4cb4-bf75-a7ecdcdded70,Q108761971,34047,R.White,Rachaad,Rachaad White,"White, Rachaad","White, R",Rachaad White,,Rachaad White,White,Rachaad,,1999-01-12,1999,01,12
9r8vjfge7r,9r8vjfge7r,4685472,25417,00-0040124,22059,McMiTe00,12526,874de000-586c-4999-ac12-02766563e200,Q114604701,41793,T.McMillan,Tetairoa,Tetairoa McMillan,"McMillan, Tetairoa","McMillan, T",Tetairoa McMillan,,Tetairoa McMillan,McMillan,Tetairoa,,2003-04-05,2003,04,05
9retnhzt84,9retnhzt84,4361741,19797,00-0037834,19742,PurdBr00,8183,d5aef708-ad61-4ab8-a637-62ff96e92040,Q71605297,34218,B.Purdy,Brock,Brock Purdy,"Purdy, Brock","Purdy, B",Brock Purdy,,Brock Purdy,Purdy,Brock,,1999-12-27,1999,12,27
9y2z9blztm,9y2z9blztm,4379399,22958,00-0037248,19467,CookJa01,8138,ce5de0e5-9f76-42ee-b93a-3ef88af9b0a7,Q109849794,34019,J.Cook,James,James Cook,"Cook, James","Cook, J",James Cook,,James Cook,Cook,James,,1999-09-25,1999,09,25
b0g9hb1q84,b0g9hb1q84,4696700,26432,00-0039737,21221,ReimTi00,11716,44767e85-080f-4212-b2f2-cba160c81a9f,Q124728838,40959,T.Reiman,Tip,Tip Reiman,"Reiman, Tip","Reiman, T",Tip Reiman,,Tip Reiman,Reiman,Tip,,2001-09-17,2001,09,17
b0jh2nx10m,b0jh2nx10m,15864,11687,00-0030565,11818,SmitGe00,1373,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,Q59497,26662,G.Smith,Eugene,Geno Smith,"Smith, Geno","Smith, G",Eugene Smith,,Geno Smith,Smith,Geno,,1990-10-10,1990,10,10
b14e6f4gem,b14e6f4gem,4040655,19810,00-0036309,18169,MoonDa00,7090,bafe8df1-66b5-4200-8fb3-ff188c25a4e2,Q91936104,32843,D.Mooney,Darnell,Darnell Mooney,"Mooney, Darnell","Mooney, D",Darnell Mooney,,Darnell Mooney,Mooney,Darnell,,1997-10-29,1997,10,29
b1dmws3204,b1dmws3204,4682652,23682,00-0040202,22104,NealDe00,12476,4ef874c1-50c3-4120-9199-0d5a4ae7c6dd,Q115492056,41972,D.Neal,Devin,Devin Neal,"Neal, Devin","Neal, D",Devin Neal,,Devin Neal,Neal,Devin,,2003-08-12,2003,08,12
b3kgj1jx1m,b3kgj1jx1m,3921690,18487,00-0035249,17082,OlivJo00,5973,dc83f7af-7b30-4c4a-9c93-f67bd8db954b,Q63091724,31901,J.Oliver,Josh,Josh Oliver,"Oliver, Josh","Oliver, J",Josh Oliver,,Josh Oliver,Oliver,Josh,,1997-03-21,1997,03,21
b49pdxmc94,b49pdxmc94,4040612,19501,00-0036887,19124,FarrLu00,7842,8a1f0e8e-6521-4a94-9934-ad4f76a25fd9,Q106676603,33533,L.Farrell,Luke,Luke Farrell,"Farrell, Luke","Farrell, L",Luke Farrell,,Luke Farrell,Farrell,Luke,,1997-10-14,1997,10,14
b59s7tgq10,b59s7tgq10,4242540,19375,00-0036165,17988,HodgIs00,6920,1d1c217b-6407-40d7-aebb-ba95fa05d127,Q73415208,32877,I.Hodgins,Isaiah,Isaiah Hodgins,"Hodgins, Isaiah","Hodgins, I",Isaiah Hodgins,,Isaiah Hodgins,Hodgins,Isaiah,,1998-10-21,1998,10,21
bb7pkmbxbr,bb7pkmbxbr,4570037,23091,00-0040737,22206,FergTe00,12487,fdfc7b8e-a202-4459-91f8-be6e053e5d29,Q123944243,41831,T.Ferguson,Terrance,Terrance Ferguson,"Ferguson, Terrance","Ferguson, T",Terrance Ferguson,,Terrance Ferguson,Ferguson,Terrance,,2003-03-07,2003,03,07
be1wsssjmh,be1wsssjmh,2573401,15623,00-0033110,14743,HigbTy00,3271,0df7912d-9e81-47ea-b4f7-d04986df4ee8,Q24248239,29344,T.Higbee,Tyler,Tyler Higbee,"Higbee, Tyler","Higbee, T",Tyler Higbee,,Tyler Higbee,Higbee,Tyler,,1993-01-01,1993,01,01
bey442j6p4,bey442j6p4,5097554,26626,00-0039589,21634,JohnKa01,11994,94c41960-0712-11ef-b01e-875e1e5d6ffb,Q129824544,41300,K.Johnson,Kameron,Kameron Johnson,"Johnson, Kameron","Johnson, K",Kameron Johnson,,Kameron Johnson,Johnson,Kameron,,2002-03-17,2002,03,17
