id,ids_prism,ids_espn,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay,profile_height,profile_weight,position_abbreviation,position_group,team_abbreviation,team_jerseyNumber,status_code,status_description,profile_rookieYear
3lcg8zg194,3lcg8zg194,4360569,00-0037525,19872,MasoJo00,8408,af9f7390-ca80-11ec-97ae-e1573849d1a6,Q113869071,34320,J.Mason,Jordan,Jordan Mason,"Mason, Jordan","Mason, J",Jordan Mason,,Jordan Mason,Mason,Jordan,,1999-05-24,1999,05,24,71,230,RB,RB,MIN,27,ACT,Active,2022
3qv3f5jeqh,3qv3f5jeqh,4429835,00-0039299,21709,HolaGe00,12048,971a3930-0724-11ef-a47d-6f7fe8c7bc97,Q124788532,41344,G.Holani,George,George Holani,"Holani, George","Holani, G",George Holani,,George Holani,Holani,George,,1999-12-16,1999,12,16,70,210,RB,RB,SEA,36,ACT,Active,2024
3v02hez7pr,3v02hez7pr,4371733,00-0036919,18772,GainKe00,7567,e2a5882a-dcc1-4800-889f-3b957b21834f,Q88089345,33538,K.Gainwell,Kenneth,Kenny Gainwell,"Gainwell, Kenny","Gainwell, K",Kenneth Gainwell,,Kenny Gainwell,Gainwell,Kenny,,1999-03-14,1999,03,14,69,200,RB,RB,TB,1,ACT,Active,2021
4712ckx40r,4712ckx40r,4688380,00-0040676,20310,WardCa00,12522,3c76cab3-3df2-43dd-acaa-57e055bd32d0,Q110263644,41786,C.Ward,Cameron,Cam Ward,"Ward, Cam","Ward, C",Cameron Ward,,Cam Ward,Ward,Cam,,2002-05-25,2002,05,25,74,219,QB,QB,TEN,1,ACT,Active,2025
4cetc28rd0,4cetc28rd0,4429501,00-0039875,21151,DaviRa04,11575,a856dd59-ed95-471a-bfb9-fbd0566bd1a9,Q123050591,40980,R.Davis,Re'Mahn,Ray Davis,"Davis, Ray","Davis, R",Re'Mahn Davis,,Ray Davis,Davis,Ray,,1999-11-20,1999,11,20,68,211,RB,RB,BUF,7,ACT,Active,2024
4fsbd09q6r,4fsbd09q6r,4239934,00-0036265,17996,DillAJ00,6828,e10bfeb8-ea01-47bc-bfa8-45f6dcbf71b3,Q54861465,32732,A.Dillon,Algiers,AJ Dillon,"Dillon, AJ","Dillon, A",Algiers Dillon,,AJ Dillon,Dillon,AJ,,1998-05-02,1998,05,02,72,247,RB,RB,CAR,28,ACT,Active,2020
4jntkkkqbw,4jntkkkqbw,5081508,00-0041490,22968,HeidEl00,13423,4e49c857-13bf-4156-ab13-706e4088179b,Q136803025,42852,E.Heidenreich,Eli,Eli Heidenreich,"Heidenreich, Eli","Heidenreich, E",Eli Heidenreich,,Eli Heidenreich,Heidenreich,Eli,,2003-07-28,2003,07,28,72,198,RB,RB,PIT,29,ACT,Active,2026
4pq7mxw38m,4pq7mxw38m,4832846,00-0041104,22944,ClaiDe00,13347,b17d816a-b687-488f-ac03-7dcba5aae0b6,Q136132094,42820,D.Claiborne,Demond,Demond Claiborne,"Claiborne, Demond","Claiborne, D",Demond Claiborne,,Demond Claiborne,Claiborne,Demond,,2003-10-09,2003,10,09,70,188,RB,RB,MIN,21,ACT,Active,2026
50mvqb2dpr,50mvqb2dpr,4685350,00-0040644,22094,EtieTr01,12531,39e2d13c-0fb7-465f-ad8b-0b4bb73e1124,Q115492523,41913,T.Etienne,Trevor,Trevor Etienne,"Etienne, Trevor","Etienne, T",Trevor Etienne,,Trevor Etienne,Etienne,Trevor,,2004-07-09,2004,07,09,69,204,RB,RB,CAR,23,ACT,Active,2025
52jvllxxym,52jvllxxym,4241416,00-0036555,18773,HubbCh01,7594,32205e74-b23f-420a-b312-465b29260745,Q67691583,33514,C.Hubbard,Chuba,Chuba Hubbard,"Hubbard, Chuba","Hubbard, C",Chuba Hubbard,,Chuba Hubbard,Hubbard,Chuba,,1999-06-11,1999,06,11,73,216,RB,RB,CAR,30,ACT,Active,2021
5ec9q5q0l4,5ec9q5q0l4,4428557,00-0039032,20329,SpeaTy00,9508,af71f149-7758-40b7-973a-9fe6320cf4f5,Q115542257,40119,T.Spears,Tyjae,Tyjae Spears,"Spears, Tyjae","Spears, T",Tyjae Spears,,Tyjae Spears,Spears,Tyjae,,2001-06-15,2001,06,15,71,200,RB,RB,TEN,2,ACT,Active,2023
5epyecgxrd,5epyecgxrd,4383429,00-0038896,20790,SaylJa00,11237,99a7f770-ea18-11ed-a93b-a93886fe0bfd,Q134625884,40474,J.Saylors,Jacob,Jacob Saylors,"Saylors, Jacob","Saylors, J",Jacob Saylors,,Jacob Saylors,Saylors,Jacob,,2000-03-08,2000,03,08,71,195,RB,RB,DET,25,ACT,Active,2023
5esy3jmwmw,5esy3jmwmw,4685397,00-0040177,22097,JameJo01,12467,c16040c3-7534-4eeb-956c-8ed3be9972ec,Q123474548,41933,J.James,Jordan,Jordan James,"James, Jordan","James, J",Jordan James,,Jordan James,James,Jordan,,2004-03-29,2004,03,29,69,208,RB,RB,SF,29,ACT,Active,2025
5gndzvppcw,5gndzvppcw,3054850,00-0033906,15293,KamaAl00,4035,d9c857b2-97da-4fb8-a527-afbbb2a67413,Q27443318,30180,A.Kamara,Alvin,Alvin Kamara,"Kamara, Alvin","Kamara, A",Alvin Kamara,,Alvin Kamara,Kamara,Alvin,,1995-07-25,1995,07,25,70,215,RB,RB,NO,41,ACT,Active,2017
65b1l2hcxm,65b1l2hcxm,3929630,00-0034844,16062,BarkSa00,4866,9811b753-347c-467a-b3cb-85937e71e2b9,Q21620839,30972,S.Barkley,Saquon,Saquon Barkley,"Barkley, Saquon","Barkley, S",Saquon Barkley,,Saquon Barkley,Barkley,Saquon,,1997-02-09,1997,02,09,72,232,RB,RB,PHI,26,ACT,Active,2018
6grvb5b0ed,6grvb5b0ed,4036378,00-0036264,17997,LoveJo03,6804,e5094779-e94f-4052-8597-bdbee3719f6b,Q60736806,32696,J.Love,Jordan,Jordan Love,"Love, Jordan","Love, J",Jordan Love,,Jordan Love,Love,Jordan,,1998-11-02,1998,11,02,76,219,QB,QB,GB,10,ACT,Active,2020
6pxwycv8c0,6pxwycv8c0,4432374,00-0040260,22439,MarsAh00,12797,c18cabc0-2321-11f0-80a0-bb24566134d1,Q136652161,42092,A.Marshall,Ahmani,Ahmani Marshall,"Marshall, Ahmani","Marshall, A",Ahmani Marshall,,Ahmani Marshall,Marshall,Ahmani,,2002-03-21,2002,03,21,73,225,RB,RB,CLE,23,ACT,Active,2025
6qg874mdqw,6qg874mdqw,4696044,00-0041052,23064,BlacKa00,13414,4dea3ae1-8c53-4ef1-bd72-e2d2dfb3fa97,Q137391681,42712,K.Black,Kaelon,Kaelon Black,"Black, Kaelon","Black, K",Kaelon Black,,Kaelon Black,Black,Kaelon,,2001-10-17,2001,10,17,69,208,RB,RB,SF,26,ACT,Active,2026
6sc0cvtkf0,6sc0cvtkf0,2576336,00-0032104,13582,AbduAm00,2359,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,Q16148577,28442,A.Abdullah,Ameer,Ameer Abdullah,"Abdullah, Ameer","Abdullah, A",Ameer Abdullah,,Ameer Abdullah,Abdullah,Ameer,,1993-06-13,1993,06,13,69,203,RB,RB,JAX,43,ACT,Active,2015
74bqdcnx5m,74bqdcnx5m,4245645,00-0036569,19149,BrigGa00,7529,94bde2c7-7229-4bf0-a545-5950cf3c7927,Q106677291,33584,G.Brightwell,Gary,Gary Brightwell,"Brightwell, Gary","Brightwell, G",Gary Brightwell,,Gary Brightwell,Brightwell,Gary,,1998-02-28,1998,02,28,73,218,RB,RB,CIN,32,ACT,Active,2021
7dx90qs7k4,7dx90qs7k4,4429795,00-0039139,20272,GibbJa01,9221,fef9457e-6497-47de-9bf2-cc3b95929375,Q100193610,40059,J.Gibbs,Jahmyr,Jahmyr Gibbs,"Gibbs, Jahmyr","Gibbs, J",Jahmyr Gibbs,,Jahmyr Gibbs,Gibbs,Jahmyr,,2002-03-20,2002,03,20,69,202,RB,RB,DET,0,ACT,Active,2023
7hfg99gzc4,7hfg99gzc4,4259545,00-0036275,17961,SwifDA00,6790,cc4b5f58-a11c-4450-a1df-617ad88336e4,Q52693227,32705,D.Swift,D'Andre,D'Andre Swift,"Swift, D'Andre","Swift, D",D'Andre Swift,,D'Andre Swift,Swift,D'Andre,,1999-01-14,1999,01,14,68,204,RB,RB,CHI,4,ACT,Active,2020
810rd58m54,810rd58m54,4596448,00-0039361,21136,IrviBu00,11584,c5249c6f-bd1b-4352-8228-de2bd499ca0d,Q114818783,40993,B.Irving,Mar'Keise,Bucky Irving,"Irving, Bucky","Irving, B",Mar'Keise Irving,,Bucky Irving,Irving,Bucky,,2002-08-19,2002,08,19,70,194,RB,RB,TB,7,ACT,Active,2024
88ylnsywrh,88ylnsywrh,4036032,00-0037329,19710,BrowBr06,8423,387c8819-5892-4528-ac33-0ec72b24cc2f,Q111787485,34206,B.Brown,Brittain,Brittain Brown,"Brown, Brittain","Brown, B",Brittain Brown,,Brittain Brown,Brown,Brittain,,1997-10-10,1997,10,10,73,205,RB,RB,CHI,38,ACT,Active,2022
899018kh7w,899018kh7w,4686468,00-0041125,22945,McGoSe01,13424,17deebdc-0ec2-4f3f-9584-d21b01743265,Q137356492,42859,S.McGowan,Seth,Seth McGowan,"McGowan, Seth","McGowan, S",Seth McGowan,,Seth McGowan,McGowan,Seth,,2001-10-23,2001,10,23,73,223,RB,RB,IND,20,ACT,Active,2026
8b7yq283xd,8b7yq283xd,5081397,00-0040162,22099,SampDy00,12469,6ea71d26-623a-4178-a93a-215678244902,Q126285126,41907,D.Sampson,Dylan,Dylan Sampson,"Sampson, Dylan","Sampson, D",Dylan Sampson,,Dylan Sampson,Sampson,Dylan,,2004-09-14,2004,09,14,68,201,RB,RB,CLE,22,ACT,Active,2025
